FlightDate,Carrier,TailNum,FlightNum,Origin,OriginCityName,Dest,DestCityName,CRSDepTime,DepTime,DepDelay,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2/26/17,DL,N917DE,30,DFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA",1715,1711,-4,16,1727,1955,16,2024,2011,-13,129,120,88,731,,,,,
2/26/17,DL,N954DL,31,ATL,"Atlanta, GA",DFW,"Dallas/Fort Worth, TX",1910,1924,14,17,1941,2046,13,2039,2059,20,149,155,125,731,11,0,9,0,0
2/26/17,DL,N686DA,32,MSY,"New Orleans, LA",ATL,"Atlanta, GA",1940,1935,-5,18,1953,2147,4,2205,2151,-14,85,76,54,425,,,,,
2/26/17,DL,N852DN,33,ATL,"Atlanta, GA",MCO,"Orlando, FL",2220,2218,-2,14,2232,2330,10,2350,2340,-10,90,82,58,404,,,,,
2/26/17,DL,N3767,34,ANC,"Anchorage, AK",SEA,"Seattle, WA",600,554,-6,17,611,951,7,1041,958,-43,221,184,160,1448,,,,,
2/26/17,DL,N987DN,36,LAS,"Las Vegas, NV",SEA,"Seattle, WA",1506,1532,26,9,1541,1751,5,1759,1756,-3,173,144,130,867,,,,,
2/26/17,DL,N836DN,38,SEA,"Seattle, WA",DTW,"Detroit, MI",935,935,0,12,947,1623,6,1655,1629,-26,260,234,216,1927,,,,,
2/26/17,DL,N550NW,39,DTW,"Detroit, MI",SEA,"Seattle, WA",825,820,-5,38,858,1016,11,1038,1027,-11,313,307,258,1927,,,,,
2/16/17,AA,N899AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,846,-8,11,857,1124,12,1158,1136,-22,124,110,87,641,,,,,
2/17/17,AA,N880AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,848,-6,15,903,1130,15,1158,1145,-13,124,117,87,641,,,,,
2/18/17,AA,N990AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,858,4,19,917,1143,10,1158,1153,-5,124,115,86,641,,,,,
2/19/17,AA,N872AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,847,-7,13,900,1142,27,1158,1209,11,124,142,102,641,,,,,
2/20/17,AA,N872AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,847,-7,13,900,1125,16,1158,1141,-17,124,114,85,641,,,,,
2/21/17,AA,N885AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,850,-4,19,909,1130,12,1158,1142,-16,124,112,81,641,,,,,
2/22/17,AA,N995AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,849,-5,14,903,1127,15,1158,1142,-16,124,113,84,641,,,,,
2/23/17,AA,N899AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,847,-7,16,903,1130,12,1158,1142,-16,124,115,87,641,12,0,2,0,65
2/24/17,AA,N885AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,906,12,54,1000,1222,5,1158,1227,29,124,141,82,641,0,0,17,0,12
2/25/17,AA,N882AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,847,-7,13,900,1126,8,1158,1134,-24,124,107,86,641,,,,,
2/26/17,AA,N995AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,859,5,11,910,1134,11,1158,1145,-13,124,106,84,641,,,,,
2/27/17,AA,N929AA,2481,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",854,848,-6,13,901,1123,16,1158,1139,-19,124,111,82,641,,,,,
