"","Origin","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
"1","ABE",202,0,377,0,57
"2","ABI",0,0,3,0,145
"3","ABQ",2722,131,2054,0,4811
"4","ABR",0,0,0,0,63
"5","ABY",907,0,34,0,1004
"6","ACT",510,0,79,0,191
"7","ACV",1516,0,1167,0,564
"8","ACY",1267,51,830,0,720
"9","ADK",0,0,17,0,14
"10","ADQ",1,0,0,44,76
"11","AEX",1436,0,180,0,1006
"12","AGS",742,0,174,0,1335
"13","ALB",1996,842,1603,0,2042
"14","AMA",819,3,244,0,272
"15","ANC",3214,1003,2465,0,2716
"16","APN",45,25,32,0,425
"17","ASE",2993,535,3873,24,6513
"18","ATL",76016,2068,38830,0,33551
"19","ATW",366,0,332,0,520
"20","AUS",7290,695,8611,0,8846
"21","AVL",1117,0,340,0,1436
"22","AVP",370,735,301,0,225
"23","AZO",812,561,247,0,1008
"24","BDL",3270,1277,2891,0,4321
"25","BET",17,0,7,17,146
"26","BFL",351,0,71,0,230
"27","BGM",22,260,101,0,215
"28","BHM",4238,279,860,19,2408
"29","BIL",107,2,485,0,530
"30","BIS",183,23,77,0,229
"31","BJI",18,44,265,5,89
"32","BLI",251,205,252,0,724
"33","BMI",303,1,121,0,214
"34","BNA",6885,1121,7295,0,9482
"35","BOI",4866,472,2810,0,3334
"36","BOS",28872,6677,37809,248,28724
"37","BQK",143,0,43,0,443
"38","BQN",55,464,187,0,654
"39","BRD",20,108,37,7,0
"40","BRO",0,0,15,0,252
"41","BRW",43,35,16,0,773
"42","BTM",137,66,19,0,16
"43","BTR",4850,866,373,0,1224
"44","BTV",330,6,1627,0,1455
"45","BUF",3523,71,2398,0,2392
"46","BUR",3145,471,5423,0,8641
"47","BWI",13816,1821,10247,53,14282
"48","BZN",1233,0,1304,0,756
"49","CAE",1331,5,431,0,668
"50","CAK",919,0,1407,0,1246
"51","CDC",0,0,110,0,54
"52","CDV",62,0,67,0,774
"53","CHA",2656,0,1519,0,1416
"54","CHO",1699,0,433,0,1412
"55","CHS",960,184,1772,0,1780
"56","CID",946,34,270,0,1432
"57","CIU",1,43,90,0,110
"58","CLE",5658,186,6701,0,5625
"59","CLL",0,82,19,0,138
"60","CLT",16553,1658,18028,130,15285
"61","CMH",2049,71,3607,0,5042
"62","CMX",259,186,21,15,271
"63","COD",2,0,74,0,386
"64","COS",5059,367,1880,0,2271
"65","CPR",205,0,0,0,105
"66","CRP",13,116,742,0,774
"67","CRW",978,0,97,0,819
"68","CSG",211,0,75,0,415
"69","CVG",2677,901,2184,0,3222
"70","CWA",162,0,63,0,152
"71","DAB",134,0,57,0,366
"72","DAL",10485,2150,8989,0,9517
"73","DAY",1719,20,296,0,779
"74","DCA",10894,967,13512,0,13385
"75","DEN",39614,8112,53118,63,49871
"76","DFW",49351,3373,29235,9,30546
"77","DHN",771,0,72,0,327
"78","DLH",0,13,84,0,235
"79","DRO",858,11,153,0,217
"80","DSM",2464,148,1009,0,1070
"81","DTW",29415,4203,16951,144,15879
"82","DVL",961,127,67,0,305
"83","EAU",294,0,611,0,188
"84","ECP",519,69,941,0,936
"85","EGE",1066,186,743,0,5490
"86","EKO",715,0,88,4,66
"87","ELM",3,0,7,0,10
"88","ELP",966,141,827,0,2654
"89","ERI",588,0,177,0,322
"90","ESC",197,0,72,0,294
"91","EUG",768,0,2625,0,1488
"92","EVV",185,0,572,0,314
"93","EWN",681,0,29,0,80
"94","EWR",36129,5930,27893,42,50307
"95","EYW",1216,0,24,0,1460
"96","FAI",185,52,402,0,624
"97","FAR",1996,21,373,0,307
"98","FAT",3762,196,2584,0,3776
"99","FAY",104,0,32,0,503
"100","FCA",1541,185,419,0,518
"101","FLG",0,0,71,0,44
"102","FLL",24399,1040,21835,218,25752
"103","FNT",902,239,187,0,1090
"104","FSD",710,268,569,0,845
"105","FSM",44,0,56,0,441
"106","FWA",3012,12,269,0,2179
"107","GCC",276,0,190,0,152
"108","GCK",78,0,46,0,29
"109","GEG",2661,822,2045,0,2782
"110","GFK",322,0,16,0,240
"111","GJT",312,18,84,0,411
"112","GNV",1316,0,362,0,1383
"113","GPT",414,0,382,0,419
"114","GRB",1258,55,751,0,1469
"115","GRI",30,0,38,0,23
"116","GRK",419,26,420,0,298
"117","GRR",2697,702,1711,0,2360
"118","GSO",1304,0,849,0,718
"119","GSP",1678,0,890,0,763
"120","GTF",37,0,106,0,251
"121","GTR",182,0,151,0,357
"122","GUC",0,0,9,0,639
"123","GUM",299,0,11,0,0
"124","HDN",822,55,827,0,1313
"125","HIB",366,0,79,22,183
"126","HLN",500,13,151,0,24
"127","HNL",12539,1407,1344,0,14944
"128","HOB",9,41,0,0,105
"129","HOU",9081,1574,5910,0,9279
"130","HPN",2685,70,775,4,3037
"131","HRL",311,102,258,0,526
"132","HSV",316,53,168,0,126
"133","HYS",49,0,30,0,125
"134","IAD",7253,1106,9511,0,7925
"135","IAG",91,0,1273,0,141
"136","IAH",28721,4041,23469,0,27042
"137","ICT",965,0,432,0,1653
"138","IDA",808,0,400,0,542
