"Origin","Carrier","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay"
"ABE","DL",41,0,172,0,0,213
"ABE","EV",119,0,183,0,47,349
"ABE","OO",42,0,22,0,10,74
"ABI","EV",0,0,3,0,145,148
"ABQ","AA",502,0,77,0,65,644
"ABQ","AS",0,0,50,0,319,369
"ABQ","B6",50,0,46,0,53,149
"ABQ","DL",1241,0,27,0,0,1268
"ABQ","EV",23,0,58,0,254,335
"ABQ","OO",0,0,218,0,667,885
"ABQ","UA",43,0,142,0,483,668
"ABQ","WN",863,131,1436,0,2970,5400
"ABR","OO",0,0,0,0,63,63
"ABY","EV",907,0,34,0,1004,1945
"ACT","EV",510,0,79,0,191,780
"ACV","OO",1516,0,1167,0,564,3247
"ACY","NK",1267,51,830,0,720,2868
"ADK","AS",0,0,17,0,14,31
"ADQ","AS",1,0,0,44,76,121
"AEX","EV",1436,0,180,0,1006,2622
"AGS","DL",361,0,124,0,0,485
"AGS","EV",36,0,48,0,1015,1099
"AGS","OO",345,0,2,0,320,667
"ALB","AA",110,0,27,0,605,742
"ALB","B6",31,0,116,0,151,298
"ALB","DL",600,140,73,0,74,887
"ALB","EV",0,0,9,0,42,51
"ALB","OO",764,201,59,0,383,1407
"ALB","UA",156,127,154,0,0,437
"ALB","WN",335,374,1165,0,787,2661
"AMA","AA",768,3,89,0,0,860
"AMA","EV",0,0,150,0,72,222
"AMA","WN",51,0,5,0,200,256
"ANC","AS",2023,1003,2312,0,2510,7848
"ANC","DL",1150,0,90,0,206,1446
"ANC","UA",41,0,63,0,0,104
"APN","OO",45,25,32,0,425,527
"ASE","OO",2993,535,3873,24,6513,13938
"ATL","AA",1872,74,2122,0,1729,5797
"ATL","AS",81,0,275,0,189,545
"ATL","DL",29750,1312,24619,0,6006,61687
"ATL","EV",31304,0,1420,0,10068,42792
"ATL","F9",200,0,544,0,873,1617
"ATL","NK",980,0,1834,0,3119,5933
"ATL","OO",6335,0,667,0,4213,11215
"ATL","UA",273,0,3045,0,1783,5101
"ATL","WN",5221,682,4304,0,5571,15778
"ATW","DL",50,0,213,0,0,263
"ATW","EV",7,0,43,0,208,258
"ATW","OO",309,0,76,0,312,697
"AUS","AA",1123,0,1380,0,1264,3767
"AUS","AS",25,0,109,0,190,324
"AUS","B6",1156,0,399,0,966,2521
"AUS","DL",1015,0,559,0,131,1705
"AUS","F9",90,0,250,0,31,371
"AUS","OO",923,125,1493,0,917,3458
"AUS","UA",797,0,1182,0,2041,4020
"AUS","VX",82,35,407,0,159,683
"AUS","WN",2079,535,2832,0,3147,8593
"AVL","DL",0,0,17,0,5,22
"AVL","EV",201,0,32,0,816,1049
"AVL","OO",906,0,119,0,69,1094
"AVL","UA",10,0,172,0,546,728
"AVP","DL",244,0,68,0,0,312
"AVP","EV",0,0,169,0,87,256
"AVP","OO",126,735,64,0,138,1063
"AZO","EV",659,360,195,0,384,1598
"AZO","OO",153,201,52,0,624,1030
"BDL","AA",417,72,614,0,1160,2263
"BDL","B6",941,39,341,0,2006,3327
"BDL","DL",321,926,599,0,192,2038
"BDL","EV",29,0,23,0,0,52
"BDL","OO",0,0,44,0,0,44
"BDL","UA",86,25,165,0,122,398
"BDL","WN",1476,215,1105,0,841,3637
"BET","AS",17,0,7,17,146,187
"BFL","OO",351,0,71,0,230,652
"BGM","OO",22,260,101,0,215,598
"BHM","DL",2163,15,242,0,824,3244
"BHM","EV",1938,0,432,0,898,3268
"BHM","WN",137,264,186,19,686,1292
"BIL","DL",39,0,119,0,0,158
"BIL","OO",0,2,208,0,418,628
"BIL","UA",68,0,158,0,112,338
