"","Origin","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","TotalDelay","DLdelay","EVdelay","OOdelay","AAdelay","ASdelay","B6delay","F9delay","HAdelay","NKdelay","UAdelay","VXdelay","WNdelay"
"1","ABE",202,0,377,0,57,636,213,349,74,0,0,0,0,0,0,0,0,0
"2","ABI",0,0,3,0,145,148,0,148,0,0,0,0,0,0,0,0,0,0
"3","ABQ",2722,131,2054,0,4811,9718,1268,335,885,644,369,149,0,0,0,668,0,5400
"4","ABR",0,0,0,0,63,63,0,0,63,0,0,0,0,0,0,0,0,0
"5","ABY",907,0,34,0,1004,1945,0,1945,0,0,0,0,0,0,0,0,0,0
"6","ACT",510,0,79,0,191,780,0,780,0,0,0,0,0,0,0,0,0,0
"7","ACV",1516,0,1167,0,564,3247,0,0,3247,0,0,0,0,0,0,0,0,0
"8","ACY",1267,51,830,0,720,2868,0,0,0,0,0,0,0,0,2868,0,0,0
"9","ADK",0,0,17,0,14,31,0,0,0,0,31,0,0,0,0,0,0,0
"10","ADQ",1,0,0,44,76,121,0,0,0,0,121,0,0,0,0,0,0,0
"11","AEX",1436,0,180,0,1006,2622,0,2622,0,0,0,0,0,0,0,0,0,0
"12","AGS",742,0,174,0,1335,2251,485,1099,667,0,0,0,0,0,0,0,0,0
"13","ALB",1996,842,1603,0,2042,6483,887,51,1407,742,0,298,0,0,0,437,0,2661
"14","AMA",819,3,244,0,272,1338,0,222,0,860,0,0,0,0,0,0,0,256
"15","ANC",3214,1003,2465,0,2716,9398,1446,0,0,0,7848,0,0,0,0,104,0,0
"16","APN",45,25,32,0,425,527,0,0,527,0,0,0,0,0,0,0,0,0
"17","ASE",2993,535,3873,24,6513,13938,0,0,13938,0,0,0,0,0,0,0,0,0
"18","ATL",76016,2068,38830,0,33551,150465,61687,42792,11215,5797,545,0,1617,0,5933,5101,0,15778
"19","ATW",366,0,332,0,520,1218,263,258,697,0,0,0,0,0,0,0,0,0
"20","AUS",7290,695,8611,0,8846,25442,1705,0,3458,3767,324,2521,371,0,0,4020,683,8593
"21","AVL",1117,0,340,0,1436,2893,22,1049,1094,0,0,0,0,0,0,728,0,0
"22","AVP",370,735,301,0,225,1631,312,256,1063,0,0,0,0,0,0,0,0,0
"23","AZO",812,561,247,0,1008,2628,0,1598,1030,0,0,0,0,0,0,0,0,0
"24","BDL",3270,1277,2891,0,4321,11759,2038,52,44,2263,0,3327,0,0,0,398,0,3637
"25","BET",17,0,7,17,146,187,0,0,0,0,187,0,0,0,0,0,0,0
"26","BFL",351,0,71,0,230,652,0,0,652,0,0,0,0,0,0,0,0,0
"27","BGM",22,260,101,0,215,598,0,0,598,0,0,0,0,0,0,0,0,0
"28","BHM",4238,279,860,19,2408,7804,3244,3268,0,0,0,0,0,0,0,0,0,1292
